Date,adj_close
2000-01-03,1.9678022861480713
2000-01-04,1.9421625137329102
2000-01-05,1.9592558145523071
2000-01-06,2.1323211193084717
2000-01-07,2.2647902965545654
2000-01-10,2.2904281616210938
2000-01-11,2.307520866394043
2000-01-12,2.320340156555176
2000-01-13,2.307520866394043
2000-01-14,2.3673465251922607
2000-01-17,2.448535203933716
2000-01-18,2.363072395324707
2000-01-19,2.3929848670959473
2000-01-20,2.3801653385162354
2000-01-21,2.363072395324707
2000-01-24,2.333160877227783
2000-01-25,2.2647902965545654
2000-01-26,2.3374338150024414
2000-01-27,2.307520866394043
2000-01-28,2.307520866394043
2000-01-31,2.2177834510803223
2000-02-01,2.2476963996887207
2000-02-02,2.2562434673309326
2000-02-03,2.307520866394043
2000-02-04,2.200690984725952
2000-02-07,2.3032479286193848
2000-02-08,2.2861547470092773
2000-02-09,2.226330518722534
2000-02-10,2.2220568656921387
2000-02-11,2.13659405708313
2000-02-14,2.128046989440918
2000-02-15,2.1152279376983643
2000-02-16,2.145139217376709
2000-02-17,2.1323211193084717
2000-02-18,2.093860626220703
2000-02-21,2.061812162399292
2000-02-22,2.008397102355957
2000-02-23,2.008397102355957
2000-02-24,2.0126712322235107
2000-02-25,1.9870325326919556
2000-02-28,1.9101142883300781
2000-02-29,1.9870325326919556
2000-03-01,2.0254905223846436
2000-03-02,2.008397102355957
2000-03-03,2.008397102355957
2000-03-06,2.008397102355957
2000-03-07,2.008397102355957
2000-03-08,1.9827584028244019
2000-03-09,1.9272065162658691
2000-03-10,1.8502897024154663
2000-03-13,1.8802024126052856
2000-03-14,1.9143879413604736
2000-03-15,2.0190813541412354
2000-03-16,1.991306185722351
2000-03-17,2.034036636352539
2000-03-20,1.9229344129562378
2000-03-21,1.9229344129562378
2000-03-22,1.8588359355926514
2000-03-23,1.8802024126052856
2000-03-24,1.8716554641723633
2000-03-27,1.8780659437179565
2000-03-28,1.8716554641723633
2000-03-29,1.8802024126052856
2000-03-30,1.8502897024154663
2000-03-31,1.854562520980835
2000-04-03,1.8737921714782715
2000-04-04,1.8588359355926514
2000-04-05,1.884475588798523
2000-04-06,1.9229344129562378
2000-04-07,1.948573112487793
2000-04-10,1.9229344129562378
2000-04-11,1.8887490034103394
2000-04-12,1.8737921714782715
2000-04-13,1.8203779458999634
2000-04-14,1.6772254705429077
2000-04-17,1.6344941854476929
2000-04-18,1.5597131252288818
2000-04-19,1.482796311378479
2000-04-20,1.482796311378479
2000-04-21,1.482796311378479
2000-04-24,1.529801607131958
2000-04-25,1.666542410850525
2000-04-26,1.666542410850525
2000-04-27,1.6366310119628906
2000-04-28,1.6409035921096802
2000-05-01,1.6409035921096802
2000-05-02,1.6067192554473877
2000-05-03,1.6088547706604004
2000-05-04,1.786191701889038
2000-05-05,1.786191701889038
2000-05-08,1.7263683080673218
2000-05-09,1.5468931198120117
2000-05-10,1.525527834892273
2000-05-11,1.4528833627700806
2000-05-12,1.4785230159759521
2000-05-15,1.4592928886413574
2000-05-16,1.440063714981079
2000-05-17,1.4379273653030396
2000-05-18,1.3738285303115845
2000-05-19,1.4742496013641357
2000-05-22,1.401605486869812
2000-05-23,1.3460533618927002
2000-05-24,1.410151481628418
2000-05-25,1.3674200773239136
2000-05-26,1.333234429359436
2000-05-29,1.3674200773239136
2000-05-30,1.3674200773239136
2000-05-31,1.3845125436782837
2000-06-01,1.3674200773239136
2000-06-02,1.4315173625946045
2000-06-05,1.4528833627700806
2000-06-06,1.4528833627700806
2000-06-07,1.4763860702514648
2000-06-08,1.4956152439117432
2000-06-09,1.4528833627700806
2000-06-12,1.410151481628418
2000-06-13,1.435791015625
2000-06-14,1.489205002784729
2000-06-15,1.3716927766799927
2000-06-16,1.2905024290084839
2000-06-19,1.2905024290084839
2000-06-20,1.217858076095581
2000-06-21,1.1836732625961304
2000-06-22,1.217858076095581
2000-06-23,1.2093122005462646
2000-06-26,1.2093122005462646
2000-06-27,1.217858076095581
2000-06-28,1.2413607835769653
2000-06-29,1.237087368965149
2000-06-30,1.1836732625961304
2000-07-03,1.2199941873550415
2000-07-04,1.3674200773239136
2000-07-05,1.2691367864608765
2000-07-06,1.24990713596344
2000-07-07,1.281956434249878
2000-07-10,1.3588727712631226
2000-07-11,1.3802387714385986
2000-07-12,1.4058789014816284
2000-07-13,1.469976544380188
2000-07-14,1.5468931198120117
2000-07-17,1.5597131252288818
2000-07-18,1.536030888557434
2000-07-19,1.5017054080963135
2000-07-20,1.5446115732192993
2000-07-21,1.5875177383422852
2000-07-24,1.6304230690002441
2000-07-25,1.6733295917510986
2000-07-26,1.5875177383422852
2000-07-27,1.5724995136260986
2000-07-28,1.5059961080551147
2000-07-31,1.5059961080551147
2000-08-01,1.611115574836731
2000-08-02,1.6561673879623413
2000-08-03,1.6432948112487793
2000-08-04,1.6497303247451782
2000-08-07,1.7076531648635864
2000-08-08,1.7376874685287476
2000-08-09,1.7848831415176392
2000-08-10,1.759141445159912
2000-08-11,1.8020466566085815
2000-08-14,1.8063369989395142
2000-08-15,1.7805932760238647
2000-08-16,1.7484148740768433
2000-08-17,1.7248159646987915
2000-08-18,1.7140902280807495
2000-08-21,1.7140902280807495
2000-08-22,1.6690380573272705
2000-08-23,1.654021143913269
2000-08-24,1.6690380573272705
2000-08-25,1.6733295917510986
2000-08-28,1.716234803199768
2000-08-29,1.7677220106124878
2000-08-30,1.7376874685287476
2000-08-31,1.7634313106536865
2000-09-01,1.7419781684875488
2000-09-04,1.74626886844635
2000-09-05,1.7677220106124878
2000-09-06,1.7720129489898682
2000-09-07,1.759141445159912
2000-09-08,1.759141445159912
2000-09-11,1.7505595684051514
2000-09-12,1.7419781684875488
2000-09-13,1.7376874685287476
2000-09-14,1.776303768157959
2000-09-15,1.8149181604385376
2000-09-18,1.7567070722579956
2000-09-19,1.7007336616516113
2000-09-20,1.6921226978302002
2000-09-21,1.6361488103866577
2000-09-22,1.6081613302230835
2000-09-25,1.6146196126937866
2000-09-26,1.60170316696167
2000-09-27,1.5930919647216797
2000-09-28,1.5735535621643066
2000-09-29,1.5562621355056763
2000-10-02,1.5562621355056763
2000-10-03,1.5562621355056763
2000-10-04,1.5649076700210571
2000-10-05,1.5649076700210571
2000-10-06,1.51303231716156
2000-10-09,1.4698023796081543
2000-10-10,1.4762870073318481
